,2722
淋巴癌,1
肝癌07.9,1
糖尿病肝硬化,1
贲门癌,1
冠心病高心病,2
甲亢,35
糖尿病肺心病,1
直肠癌术后/冠心病,1
扣底癌,1
胃癌术07.3.,1
心肌病心功不全,1
高血压偏瘫,7
冠心病\高血压,1
高血压高心病,1
宫颈上皮内瘤三级累及腺体,1
鼻咽癌术后,1
左肺癌术07.7,1
甲亢/高血压,1
食道癌,7
精神分裂症,426
肾功能衰竭,1
类风湿性关节炎,41
肝癌,7
癫间高血压,1
器官移植后的抗排异治疗,100
脑梗塞肺结核,1
脑梗塞/高血压,1
高心病冠心病,2
矽肺等,1
肺心病,54
膀胱癌,8
左乳癌术,1
口腔癌术后,1
右侧偏瘫,1
纤维瘤,1
类风湿关节炎,152
帕金森病,9
直肠腺癌,1
恶性肿瘤补充放化疗,553
脑溢血半瘫,1
糖尿病/偏瘫,1
肝硬化肾肿大,1
精神病癫痫,1
冠状动脉支架术后,3
甲亢病,1
脑溢血,3
脑出血后遗症,2
宫颈癌脑转移瘤高心病,1
高血压/脑溢血,1
甲亢/糖尿病,2
脑血管疾病,2370
脑出血,13
精原细胞癌,1
高心病/冠心病,5
细胞淋巴瘤,1
高血压三期/偏瘫,1
胰腺癌,1
风心病,24
直肠下段中分化腺癌,1
肺气肿高心病,1
恶性肿瘤放（化）治疗,3187
脑血栓偏瘫,1
直肠癌术后,4
精神病,754
颌下腺癌,1
肺心病/肺结核,1
肺心病冠心病,1
慢性淋巴细胞白血病,1
高心病，冠心病,1
结核病,209
已肝,1
鼻咽癌,4
扩心病,2
非何杰金式淋巴瘤,2
高心冠心病,2
慢性粒细胞白血病,2
卵巢CA术后,1
糖尿病脑梗塞,1
胰头癌,1
DDD起搏器植入术,1
癫痫/帕金森,1
垂体瘤术后,1
甲状腺癌,5
横结肠癌,1
胆阆癌转移,1
子宫内膜癌,1
骶骨转移癌,1
再生障碍性贫血,10
脑栓塞,1
高血压肺心病,1
结肠瘤,1
帕金森氏病,3
帕金森氏症,382
前列腺癌伴全身广泛骨转移,1
直肠癌07.5,1
慢性肾功衰竭的透析治疗,57
高血压脑梗塞,15
脑梗塞瘫痪,1
十二指肠乳头印戒细胞癌,1
高血压合并失明,1
皮肤基底细胞癌,1
肾病综合症肾衰,1
慢性乙肝,1
高心病/高血脂,1
尿毒症,4
高血压二期/脑萎缩,1
肾移植,2
颅咽管瘤术,1
直肠癌,24
姨头癌06.12.,1
慢性肾病,1
鞍区恶性肿瘤,1
食道癌术,1
类风湿功能障碍,1
高心病,157
右侧乳腺浸润性导管癌,1
口腔癌,2
肝硬化腹水,1
肾移植肾功衰,1
淋巴癌?,1
颅内多发病变,1
